Date,OCCUPATION,JOB VACANCY CHARACTERISTICS,JOB VACANCIES
2023-01,Management occupations [0],No minimum level of education required,4160
2023-01,Management occupations [0],High school diploma or equivalent,7300
2023-01,Management occupations [0],Non-university certificate or diploma,7865
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,3690
2023-01,Management occupations [0],Bachelor's degree,12950
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",3620
2023-01,Management occupations [0],No minimum level of education required,10
2023-01,Management occupations [0],High school diploma or equivalent,90
2023-01,Management occupations [0],Non-university certificate or diploma,75
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,25
2023-01,Management occupations [0],Bachelor's degree,85
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-01,Management occupations [0],No minimum level of education required,0
2023-01,Management occupations [0],High school diploma or equivalent,15
2023-01,Management occupations [0],Non-university certificate or diploma,0
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-01,Management occupations [0],Bachelor's degree,0
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-01,Management occupations [0],No minimum level of education required,0
2023-01,Management occupations [0],High school diploma or equivalent,115
2023-01,Management occupations [0],Non-university certificate or diploma,130
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-01,Management occupations [0],Bachelor's degree,190
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",60
2023-01,Management occupations [0],No minimum level of education required,50
2023-01,Management occupations [0],High school diploma or equivalent,0
2023-01,Management occupations [0],Non-university certificate or diploma,120
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-01,Management occupations [0],Bachelor's degree,105
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-01,Management occupations [0],No minimum level of education required,1080
2023-01,Management occupations [0],High school diploma or equivalent,1520
2023-01,Management occupations [0],Non-university certificate or diploma,1300
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,545
2023-01,Management occupations [0],Bachelor's degree,3240
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",485
2023-01,Management occupations [0],No minimum level of education required,1440
2023-01,Management occupations [0],High school diploma or equivalent,2600
2023-01,Management occupations [0],Non-university certificate or diploma,3380
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,1575
2023-01,Management occupations [0],Bachelor's degree,5780
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",1800
2023-01,Management occupations [0],No minimum level of education required,0
2023-01,Management occupations [0],High school diploma or equivalent,195
2023-01,Management occupations [0],Non-university certificate or diploma,270
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,80
2023-01,Management occupations [0],Bachelor's degree,270
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",80
2023-01,Management occupations [0],No minimum level of education required,0
2023-01,Management occupations [0],High school diploma or equivalent,0
2023-01,Management occupations [0],Non-university certificate or diploma,0
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-01,Management occupations [0],Bachelor's degree,0
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-01,Management occupations [0],No minimum level of education required,0
2023-01,Management occupations [0],High school diploma or equivalent,0
2023-01,Management occupations [0],Non-university certificate or diploma,0
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-01,Management occupations [0],Bachelor's degree,0
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-01,Management occupations [0],No minimum level of education required,750
2023-01,Management occupations [0],High school diploma or equivalent,1365
2023-01,Management occupations [0],Non-university certificate or diploma,1525
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,655
2023-01,Management occupations [0],Bachelor's degree,1790
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",725
2023-01,Management occupations [0],No minimum level of education required,0
2023-01,Management occupations [0],High school diploma or equivalent,0
2023-01,Management occupations [0],Non-university certificate or diploma,0
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-01,Management occupations [0],Bachelor's degree,15
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-01,Management occupations [0],No minimum level of education required,0
2023-01,Management occupations [0],High school diploma or equivalent,0
2023-01,Management occupations [0],Non-university certificate or diploma,0
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-01,Management occupations [0],Bachelor's degree,50
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-01,Management occupations [0],No minimum level of education required,0
2023-01,Management occupations [0],High school diploma or equivalent,0
2023-01,Management occupations [0],Non-university certificate or diploma,0
2023-01,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-01,Management occupations [0],Bachelor's degree,0
2023-01,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,4595
2023-04,Management occupations [0],High school diploma or equivalent,6570
2023-04,Management occupations [0],Non-university certificate or diploma,7335
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,3270
2023-04,Management occupations [0],Bachelor's degree,12835
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",3360
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,30
2023-04,Management occupations [0],Non-university certificate or diploma,55
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,10
2023-04,Management occupations [0],Bachelor's degree,75
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",10
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,20
2023-04,Management occupations [0],Non-university certificate or diploma,0
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,90
2023-04,Management occupations [0],High school diploma or equivalent,110
2023-04,Management occupations [0],Non-university certificate or diploma,170
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,100
2023-04,Management occupations [0],Bachelor's degree,165
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",65
2023-04,Management occupations [0],No minimum level of education required,65
2023-04,Management occupations [0],High school diploma or equivalent,145
2023-04,Management occupations [0],Non-university certificate or diploma,100
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,50
2023-04,Management occupations [0],Bachelor's degree,150
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",60
2023-04,Management occupations [0],No minimum level of education required,1230
2023-04,Management occupations [0],High school diploma or equivalent,1265
2023-04,Management occupations [0],Non-university certificate or diploma,1305
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,420
2023-04,Management occupations [0],Bachelor's degree,3245
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",430
2023-04,Management occupations [0],No minimum level of education required,1590
2023-04,Management occupations [0],High school diploma or equivalent,2035
2023-04,Management occupations [0],Non-university certificate or diploma,3075
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,1660
2023-04,Management occupations [0],Bachelor's degree,6155
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",1605
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,0
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,0
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,0
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,0
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,15
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,10
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,10
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,10
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,25
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-04,Management occupations [0],No minimum level of education required,0
2023-04,Management occupations [0],High school diploma or equivalent,0
2023-04,Management occupations [0],Non-university certificate or diploma,0
2023-04,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-04,Management occupations [0],Bachelor's degree,0
2023-04,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,4085
2023-07,Management occupations [0],High school diploma or equivalent,6035
2023-07,Management occupations [0],Non-university certificate or diploma,6875
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,2970
2023-07,Management occupations [0],Bachelor's degree,12310
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",2910
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,55
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,45
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",30
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,20
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,155
2023-07,Management occupations [0],Non-university certificate or diploma,180
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,270
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",40
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,0
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,1215
2023-07,Management occupations [0],High school diploma or equivalent,1625
2023-07,Management occupations [0],Non-university certificate or diploma,1160
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,495
2023-07,Management occupations [0],Bachelor's degree,2895
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",430
2023-07,Management occupations [0],No minimum level of education required,1275
2023-07,Management occupations [0],High school diploma or equivalent,1900
2023-07,Management occupations [0],Non-university certificate or diploma,3080
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,1260
2023-07,Management occupations [0],Bachelor's degree,5025
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",1400
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,215
2023-07,Management occupations [0],Non-university certificate or diploma,200
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,140
2023-07,Management occupations [0],Bachelor's degree,270
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",90
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,0
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,435
2023-07,Management occupations [0],High school diploma or equivalent,650
2023-07,Management occupations [0],Non-university certificate or diploma,755
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,325
2023-07,Management occupations [0],Bachelor's degree,940
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",220
2023-07,Management occupations [0],No minimum level of education required,855
2023-07,Management occupations [0],High school diploma or equivalent,1035
2023-07,Management occupations [0],Non-university certificate or diploma,1085
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,455
2023-07,Management occupations [0],Bachelor's degree,2270
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",505
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,20
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,35
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
2023-07,Management occupations [0],No minimum level of education required,0
2023-07,Management occupations [0],High school diploma or equivalent,0
2023-07,Management occupations [0],Non-university certificate or diploma,0
2023-07,Management occupations [0],University certificate or diploma below bachelor's level,0
2023-07,Management occupations [0],Bachelor's degree,0
2023-07,Management occupations [0],"University certificate, diploma or degree above the bachelor's level",0
